Timestamp,transaction-fees-usd
14/05/2021,682592.199427666
15/05/2021,116945.152075572
16/05/2021,465303.782950687
17/05/2021,372348.388394168
18/05/2021,962920.36571643
19/05/2021,895433.900307426
20/05/2021,275558.551735828
21/05/2021,103904.750231578
22/05/2021,840269.872424652
23/05/2021,828084.48155193
24/05/2021,595913.287961922
25/05/2021,266233.231968297
26/05/2021,57611.9648879245
27/05/2021,569470.909781116
28/05/2021,547163.26942885
29/05/2021,672654.431237741
30/05/2021,298426.0232431
31/05/2021,650478.04675535
01/06/2021,727599.80392406
02/06/2021,910085.523923581
03/06/2021,920705.763168388
04/06/2021,583206.05892859
05/06/2021,82501.9358168778
06/06/2021,12485.561027935
07/06/2021,266620.581185154
08/06/2021,156939.76257696
09/06/2021,210337.22863661
10/06/2021,715939.085078464
11/06/2021,505578.882168009
12/06/2021,278937.849496455
13/06/2021,49824.279575072
14/06/2021,524262.632782546
15/06/2021,557577.83556363
16/06/2021,538879.300057424
17/06/2021,210119.703720894
18/06/2021,142644.84491354
19/06/2021,80657.4080873234
20/06/2021,94364.5851247732
21/06/2021,325747.430762702
22/06/2021,529601.829587585
23/06/2021,921499.699847435
24/06/2021,624791.761086055
25/06/2021,467294.488513267
26/06/2021,26377.4862813442
27/06/2021,94563.6187211958
28/06/2021,819158.709827725
29/06/2021,895790.071616135
30/06/2021,176609.760123628
01/07/2021,444115.242989816
02/07/2021,64573.7223746126
03/07/2021,28058.1386466548
04/07/2021,533082.319825134
05/07/2021,618457.341243872
06/07/2021,608397.438132015
07/07/2021,309346.42019  05783
08/07/2021,66730.0958412429
09/07/2021,91745.7720978879
10/07/2021,46919.5939725555
11/07/2021,34137.4887759703
12/07/2021,75257.973337679
13/07/2021,39050.6574440622
14/07/2021,15940.8357754195
15/07/2021,26170.955563693
16/07/2021,49046.4443972324
17/07/2021,98117.9175862612
18/07/2021,82734.7410199331
19/07/2021,90435.3666245714
20/07/2021,41599.9859052661
21/07/2021,51686.5339324978
22/07/2021,62651.5822414174
23/07/2021,26145.7922654526
24/07/2021,34318.1405187592
25/07/2021,34180.7940461248
26/07/2021,527.0059988148
27/07/2021,5648.3806176905
28/07/2021,19650.4724596755
29/07/2021,2440.4757681953
30/07/2021,76905.9281111764
31/07/2021,67510.799921637
01/08/2021,2959.18126019154
02/08/2021,33678.3025228591
03/08/2021,92729.8789043702
04/08/2021,86176.42127036
05/08/2021,85774.341207098
06/08/2021,89380.3074954066
07/08/2021,51868.6970920752
08/08/2021,36279.8171292448
09/08/2021,10190.9085103582
10/08/2021,43651.1920907345
11/08/2021,11796.6325731914
12/08/2021,75801.78342867
13/08/2021,87292.3553841454
14/08/2021,12896.285024436
15/08/2021,51047.5714292612
16/08/2021,64623.3042931516
17/08/2021,22533.1951044699
18/08/2021,96294.749213735
19/08/2021,83976.3727932619
20/08/2021,53800.8117346275
21/08/2021,60978.406618123
22/08/2021,67704.2170355871
23/08/2021,24341.615285643
24/08/2021,36449.8968082938
25/08/2021,19543.254227655
26/08/2021,53301.4691781066
27/08/2021,69378.3269082
28/08/2021,23564.6993283303
29/08/2021,28835.1490642131
30/08/2021,3044.8225856082
31/08/2021,50089.1504215797
